festival_id,name,tithi,month,paksha,deity,lila_reference,raga,practice,food_offering,flower,significance
1,Gaura_Purnima,15,Phalguna,shukla,Chaitanya_Mahaprabhu,Appearance_of_Mahaprabhu,Bhairavi,fasting_then_feast,Pancha_amrita,Kadamba,Most_auspicious_appearance
2,Rama_Navami,9,Chaitra,shukla,Rama,Appearance_of_Rama,Sarang,fasting,fruits,Lotus,Rama_appearance
3,Nrsimha_Chaturdashi,14,Vaishakha,shukla,Nrsimhadeva,Appearance_protecting_Prahlada,Darbari,Nrsimha_prayers,no_grains,Tulasi,Protection_festival
4,Snana_Yatra,15,Jyeshtha,shukla,Jagannatha,Bathing_ceremony,Malhar,abhisheka,milk_sweets,all_flowers,Annual_bathing
5,Ratha_Yatra,2,Ashadha,shukla,Jagannatha,Return_to_Vrindavana,Malhara,processional,Mahaprasada,all,Chariot_festival
6,Jhulan_Yatra,11,Shravana,shukla,Radha_Krishna,Swing_pastimes,Malhar,swing_decoration,fruits,Kadamba,Monsoon_swing_festival
7,Balarama_Jayanti,15,Shravana,shukla,Balarama,Appearance_of_Balarama,Bhairava,fasting,white_foods,white_flowers,Balarama_appearance
8,Janmashtami,8,Bhadra,krishna,Krishna,Appearance_of_Krishna,Darbari_Kedar,fasting_midnight_feast,108_items,Tulasi,Most_sacred_appearance
9,Radhashtami,8,Bhadra,shukla,Radharani,Appearance_of_Radha,Bhairavi,fasting,sweet_rice,Lotus,Radha_appearance
10,Govardhan_Puja,1,Kartika,shukla,Govardhan_Krishna,Lifting_Govardhan,Bilaval,circumambulation,anna_kuta,all,Govardhan_festival
11,Gopastami,8,Kartika,shukla,Govinda_with_cows,First_day_as_cowherd,Desh,cow_worship,grains,Kadamba,Cowherd_festival
12,Gita_Jayanti,11,Margashirsha,shukla,Krishna_Arjuna,Bhagavad_Gita_spoken,Bhimpalasi,Gita_reading,sattvic,Lotus,Gita_anniversary
13,Vaikuntha_Ekadashi,11,Margashirsha,shukla,Vishnu,Gates_of_Vaikuntha_open,Yaman,fasting_vigil,no_grains,Tulasi,Most_powerful_Ekadashi
14,Nityananda_Trayodashi,13,Magha,shukla,Nityananda,Appearance_of_Nitai,Bhairavi,dancing_chanting,sweets,all,Nitai_appearance
