nakshatra,plant,common_name,sanskrit_name,deity,element,dosha,use,mantra,body_part,metal,season,growing_notes,ritual_use,ayurvedic_use,sacred_tree,tree_latin,tree_source
Ashwini,Ashwagandha,Winter cherry,Ashvagandha,Ashvini Kumaras,Fire,Vata,healing,ॐ अश्विनीकुमाराभ्यां नमः,head,iron,spring,well-drained soil · morning sun · do not overwater,offer at healing altar · invoke quick recovery,warming rasayana · grounding for vata,Kuchila,Strychnos nux-vomica,Brihat Samhita
Bharani,Amla,Indian gooseberry,Amalaki,Yama,Earth,Pitta,purification,ॐ यमाय नमः,reproductive,copper,spring,heat-tolerant tree · mulch roots · water deeply,fruit offering for restraint and purification,cooling rejuvenative · supports pitta balance,Amla,Phyllanthus emblica,Brihat Samhita
Krittika,Fig,Cluster fig,Udumbara,Agni,Fire,Pitta,ritual,ॐ अग्नये नमः,eyes,gold,spring,prune with care · thrives in sun · rich soil,wood and leaves for fire rites,latex and bark used traditionally for tissue repair,Udumbara,Ficus racemosa,Brihat Samhita
Rohini,Jasmine,Jasmine,Mallika,Brahma,Earth,Kapha,beauty,ॐ ब्रह्मणे नमः,face,silver,spring,fertile soil · evening fragrance · steady moisture,garland for household shrine and beauty rites,aromatic calming flower · softens heat and stress,Jamun,Syzygium cumini,Brihat Samhita
Mrigashira,Khadira,Cutch tree,Khadira,Soma,Earth,Vata,medicinal,ॐ सोमाय नमः,throat,copper,spring,light pruning · prefers dry intervals · hardy roots,use twigs in cleansing observances,astringent bark for skin and oral care,Khadira,Acacia catechu,Brihat Samhita
Ardra,Agarwood,Agarwood,Agaru,Rudra,Water,Vata,clearing,ॐ रुद्राय नमः,sinuses,lead,monsoon,humidity-loving tree · shelter from harsh wind,burn sparingly for storm-clearing and grief rites,fragrant resin used for mind-settling fumigation,Shisham,Dalbergia sissoo,Brihat Samhita
Punarvasu,Bamboo,Bamboo,Vamsha,Aditi,Air,Vata,renewal,ॐ अदितये नमः,arms,silver,summer,rapid grower · water consistently · contain spread,plant near boundary for renewal and shelter,young shoots are nourishing and light,Bamboo,Bambusa arundinacea,Brihat Samhita
Pushya,Peepal,Sacred fig,Ashvattha,Brihaspati,Water,Kapha,nourishment,ॐ बृहस्पतये नमः,chest,gold,summer,deep roots · sacred space only · full sun,circumambulate on Thursdays · water at dawn,leaf and bark traditions support respiration,Peepal,Ficus religiosa,Brihat Samhita
Ashlesha,Nagakesara,Ceylon ironwood,Nagakesara,Nagas,Water,Pitta,protection,ॐ नागदेवताभ्यो नमः,nerves,bronze,monsoon,warm humid climate · patient growth,flowers for serpent appeasement and protective rites,flower used in classical formulas for bleeding and heat,Nagkesara,Mesua ferrea,Brihat Samhita
Magha,Banyan,Banyan,Vata,Pitrs,Fire,Vata,ancestral,ॐ पितृभ्यो नमः,spine,iron,summer,large sacred tree · leave space for aerial roots,ancestor tarpana beneath the tree,aerial root and bark traditions support stability,Banyan,Ficus benghalensis,Brihat Samhita
Purva Phalguni,Palasha,Flame of the forest,Palasha,Bhaga,Earth,Pitta,creativity,ॐ भगाय नमः,heart,copper,spring,dry-season flowering tree · strong sun,flowers for festive and fertility rites,seeds and bark used in cleansing protocols,Palash,Butea monosperma,Brihat Samhita
Uttara Phalguni,Rudraksha,Rudraksha,Rudraksha,Aryaman,Earth,Vata,stability,ॐ अर्यम्णे नमः,back,silver,monsoon,well-drained slope · humid subtropical climate,"beads for vow, steadiness, and solar discipline",traditionally worn for calming stress and pressure,Plaksha,Ficus microcarpa,Brihat Samhita
Hasta,Soapnut,Soapnut,Arishta,Savitar,Air,Kapha,cleansing,ॐ सवित्रे नमः,hands,copper,summer,warm weather tree · moderate water,fruit used for sacred washing and vessel cleaning,external cleansing support for skin and scalp,Kakodumbar,Ficus hispida,Brihat Samhita
Chitra,Bael,Bael,Bilva,Vishvakarma,Fire,Vata,structure,ॐ विश्वकर्मणे नमः,intestines,gold,summer,heat hardy tree · protect young plants from cold,leaves offered to Shiva and in design consecration,fruit revered for digestion and bowel tone,Bilva,Aegle marmelos,Brihat Samhita
Swati,Arjuna,Arjuna,Arjuna,Vayu,Air,Pitta,circulation,ॐ वायवे नमः,lungs,iron,summer,riverbank tree · likes regular water but drains well,bark offered in wind and prana rites,classic cardiac and circulation herb,Arjuna,Terminalia arjuna,Brihat Samhita
Vishakha,Wood Apple,Wood apple,Kapittha,Indra-Agni,Fire,Kapha,fortification,ॐ इन्द्राग्निभ्यां नमः,stomach,bronze,summer,tough tree · tolerates heat and drought,fruit offered in victory and goal-oriented rites,fruit and rind used for digestion and firmness,Bakul,Mimusops elengi,Brihat Samhita
Anuradha,Tulsi,Holy basil,Tulasi,Mitra,Water,Kapha,devotional,ॐ मित्राय नमः,lungs,silver,all,daily watering at dawn · pinch flowers to bush out,place at entrance · light lamp nearby,warming aromatic herb for kapha and immunity,Bakul,Mimusops elengi,Brihat Samhita
Jyeshtha,Silk Cotton,Silk cotton tree,Shalmali,Indra,Fire,Pitta,guarding,ॐ इन्द्राय नमः,circulation,copper,summer,thorny trunk · full sun · deep rooted,used in protective boundary plantings,gum and bark traditions for tissue toning,Chir Pine,Pinus roxburghii,Brihat Samhita
Mula,Sal,Sal tree,Shala,Nirriti,Fire,Vata,root_work,ॐ निरृत्यै नमः,colon,iron,summer,forest tree · rich soil · deep moisture,root and leaf offerings in release rites,resin and bark associated with grounding and wound care,Sandalwood,Santalum album,Brihat Samhita
Purvashadha,Lotus,Lotus,Kamala,Apas,Water,Pitta,purification,ॐ आपो देवताभ्यो नमः,kidneys,silver,summer,still water container or pond · full sun,water shrine offering and purity rites,cooling flower and seed for pitta states,,,
Uttarashadha,Jackfruit,Jackfruit,Panasa,Vishvadevas,Earth,Kapha,sustenance,ॐ विश्वदेवेभ्यो नमः,muscles,gold,summer,tropical tree · heavy feeder · deep watering,fruit offering for abundance and household stability,nourishing fruit and seed food,,,
Shravana,Arka,Crown flower,Arka,Vishnu,Water,Vata,devotional,ॐ नमो नारायणाय,ears,silver,spring,full sun · sparse watering · tolerates poor soil,place at entrance · water at dawn,latex used carefully in external traditional applications,Arka,Calotropis gigantea,Brihat Samhita
Dhanishtha,Shami,Prosopis cineraria,Shami,Vasus,Air,Vata,prosperity,ॐ वसुभ्यो नमः,legs,iron,summer,desert-tolerant tree · minimal water once established,Shami leaves for victory and wealth rites,pods and leaves are strengthening fodder and support,Shami,Prosopis cineraria,Brihat Samhita
Shatabhisha,Kadamba,Kadamba,Kadamba,Varuna,Air,Kapha,medicine,ॐ वरुणाय नमः,skin,steel,monsoon,rain-loving tree · rich moisture-retentive soil,medicine garden centerpiece · healing vow offerings,bark and leaf used in classical skin support,Babool,Acacia arabica,Brihat Samhita
Purva Bhadrapada,Mango,Mango,Amra,Aja Ekapada,Fire,Pitta,sacrifice,ॐ अजैकपादाय नमः,blood,gold,summer,hot season tree · protect from frost,mango leaves for doorway torana and yajña vessels,fruit builds rasa when ripe and moderate,Mango,Mangifera indica,Brihat Samhita
Uttara Bhadrapada,Neem,Neem,Nimba,Ahir Budhnya,Water,Pitta,protection,ॐ अहिर्बुध्न्याय नमः,skin,copper,spring,dry-season hardy tree · full sun,hang leaves at threshold · cleansing fumigation,bitter purifier for pitta and skin,Neem,Azadirachta indica,Brihat Samhita
Revati,Mahua,Mahua,Madhu,Pushan,Water,Kapha,nourishment,ॐ पूष्णे नमः,feet,silver,spring,tropical tree · seasonal flowering · moderate irrigation,flower offerings for completion and safe journeys,flowers are nourishing and restorative,Mahua,Madhuca longifolia,Brihat Samhita
